poslanik1,poslanik2,zapratio,zapracen,br_zaj_pratilaca,br_zaj_pracenja,indeks_zaj
Aleksandra Jerkov,Aleksandra Tomić,True,True,13,16,59
Aleksandra Jerkov,Boško Obradović,True,True,14,9,53
Aleksandra Jerkov,Čedomir Jovanović,True,False,21,4,40
Aleksandra Jerkov,Goran Čabradi,False,True,2,9,26
Aleksandra Jerkov,Dejan Nikolić,True,True,29,29,88
Aleksandra Jerkov,Dragana Barišić,False,False,9,8,17
Aleksandra Jerkov,Dubravka Filipovski,True,True,17,11,58
Aleksandra Jerkov,Dušica Stojković,False,False,5,4,9
Aleksandra Jerkov,Dušan Milisavljević,True,True,21,17,68
Aleksandra Jerkov,Enis Imamović,True,True,10,11,51
Aleksandra Jerkov,Jasmina Nikolić,True,True,14,15,59
Aleksandra Jerkov,Vladimir Đukanović,False,True,8,14,37
Aleksandra Jerkov,Milan Lapčević,False,True,5,0,20
Aleksandra Jerkov,Maja Gojković,True,True,19,8,57
Aleksandra Jerkov,Maja Videnović,True,True,29,26,85
Aleksandra Jerkov,Marijan Rističević,False,True,16,15,46
Aleksandra Jerkov,Marinika Tepić,True,True,13,16,59
Aleksandra Jerkov,Milija Miletić,False,True,6,9,30
Aleksandra Jerkov,Nataša Vučković,False,True,3,10,28
Aleksandra Jerkov,Nemanja Šarović,True,True,12,18,60
Aleksandra Jerkov,Katarina Rakić,True,True,16,17,63
Aleksandra Jerkov,Saša Radulović,True,True,28,17,75
Aleksandra Jerkov,Sonja Vlahović,False,False,6,4,10
Aleksandra Jerkov,Srbislav Filipović,False,False,13,14,27
Aleksandra Jerkov,Aleksandar Stevanović,True,False,14,9,38
Aleksandra Jerkov,Tatjana Macura,True,False,20,17,52
Aleksandra Jerkov,Vjerica Radeta,True,True,11,10,51
Aleksandra Jerkov,Vladimir Đurić,True,True,13,19,62
Aleksandra Jerkov,Vladimir Orlić,False,False,10,8,18
Aleksandra Jerkov,Nenad Čanak,True,True,16,3,49
Aleksandra Jerkov,Ivan Karić,False,False,11,11,22
Aleksandra Jerkov,Zoran Dragišić,False,True,9,22,46
Aleksandra Jerkov,Zoran Krasić,True,True,15,25,70
Aleksandra Jerkov,Zvonimir Đokić,False,True,10,31,56
Aleksandra Jerkov,Aleksandra Belačić,False,False,9,8,17
Aleksandra Jerkov,Aleksandar Marković,True,True,9,12,51
Aleksandra Jerkov,Balša Božović,True,True,23,21,74
Aleksandra Jerkov,Branislav Mihajlović,True,True,11,12,53
Aleksandra Jerkov,Ivan Bauer,False,False,0,0,0
Aleksandra Jerkov,Slaviša Bulatović,False,False,0,2,2
Aleksandra Jerkov,Dušan Pavlović,True,True,26,14,70
Aleksandra Jerkov,Đorđe Vukadinović,True,True,22,6,58
Aleksandra Jerkov,Dragan Šormaz,True,True,17,12,59
Aleksandra Jerkov,Dragomir Karić,True,True,15,16,61
Aleksandra Jerkov,Goran Ješić,True,True,21,10,61
Aleksandra Jerkov,Gordana Čomić,True,True,28,11,69
Aleksandra Jerkov,Jelena Žarić Kovačević,False,False,10,16,26
Aleksandra Jerkov,Miodrag Linta,False,False,0,0,0
Aleksandra Jerkov,Marija Janjušević,False,False,12,12,24
Aleksandra Jerkov,Vesna Marjanović,True,True,10,9,49
Aleksandra Jerkov,Muamer Bačevac,False,True,4,5,24
Aleksandra Jerkov,Žarko Mićin,False,False,11,8,19
Aleksandra Jerkov,Nataša Mihailović Vacić,True,True,11,16,57
Aleksandra Jerkov,Milanka Karić,True,False,5,2,22
Aleksandra Jerkov,Miloš Bošković,True,True,10,7,47
Aleksandra Jerkov,Nenad Božić,True,True,9,13,52
Aleksandra Jerkov,Ognjen Pantović,False,False,2,2,4
Aleksandra Jerkov,Balint Pastor,True,True,17,7,54
Aleksandra Jerkov,Vojislav Šešelj,True,False,11,4,30
Aleksandra Jerkov,Miljan Damjanović,False,True,6,6,27
Aleksandra Jerkov,Sanda Rašković Ivić,True,True,27,26,83
Aleksandra Jerkov,Ana Stevanović,True,True,15,18,63
Aleksandra Jerkov,Bojan Torbica,True,True,2,7,39
Aleksandra Jerkov,Vladimir Marinković,True,True,17,17,64
Aleksandra Jerkov,Dijana Vukomanović,True,True,23,15,68
Aleksandra Jerkov,Tomislav Žigmanov,True,False,0,0,15
Aleksandra Jerkov,Zoran Živković,True,True,29,13,72
Aleksandra Tomić,Boško Obradović,False,False,6,4,10
Aleksandra Tomić,Čedomir Jovanović,True,False,8,2,25
Aleksandra Tomić,Goran Čabradi,False,False,1,8,9
Aleksandra Tomić,Dejan Nikolić,True,True,9,14,53
Aleksandra Tomić,Dragana Barišić,True,True,10,10,50
